NO.,COMMANDMENT,QUESTION,STATEMENT
27,2,Blamed God for my failings?,I blamed God for my failings
28,3,Missed Mass on Sunday or Holy Days (through own fault w/o sufficient reason)?,I missed mass on Sunday or holy days
29,3,Neglected to set time aside each day for personal prayer to God?,I neglected to set time aside each day for personal prayer to God
30,3,"Committed a sacrilege against the Blessed Sacrament (thrown Him away; brought Him home; treated Him carelessly, etc.)?",I committed a sacrilege against the blessed sacrament
31,3,Received any sacrament while in the state of mortal sin?,I received a sacrament while in the state of mortal sin
32,3,Habitually come late to and/or leave early from Mass?,I habitually come late to and/or leave early from mass
33,3,"Shop, labor, practice sports or do business unnecessarily on Sunday or other Holy Days of Obligation?",I shop/labor/practice sports/do business unnecessarily on Sunday or other holy days of obligation
34,3,Not attended to taking my children to Mass?,I have not attended to taking my children to mass
35,3,Not provided proper instruction in the Faith to my children?,I have not provided proper instruction in the faith to my children
36,3,Knowingly eaten meat on a forbidden day (or not fasted on a fast day)?,I have knowingly eaten meat on a forbidden day
37,3,Eaten or drunken within one hour of receiving Communion (other than medical need)?,I have eaten or drunken within one hour of receiving communion
38,4,(If still under my parents’ care) Obeyed all that my parents reasonably asked of me?,I have not obeyed all that my parents reasonably asked of me
39,4,"Shown disregard for my parents wishes, displayed contempt of their demands, and/or disdained their very being?","I have shown disregard for my parents wishes, displayed contempt of their demands, and/or disdained their very being"
40,4,Neglected the needs of my parents in their old age or in their time of need?,I neglected the needs of my parents in their old age or in their time of need
41,4,Harbored hatred for my parents?,I harbored hatred for my parents
42,4,Brought shame on them?,I brought shame on my parents
43,4,(If still in school) Obeyed the reasonable demands of my teachers?,I disobeyed the reasonable demands of my teachers
44,4,Disrespected my teachers?,I disrespected my teachers
45,4,"(If I have children) Neglected to give my children proper food, clothing, shelter, education, discipline and care (even after Confirmation)?","I have neglected to give my children proper food, clothing, shelter, education, discipline and care"
46,4,Provided for the religious education and formation of my children for as long as they are under my care?,I have not provided for the religious education and formation of my children for as long as they are under my care
47,4,Ensured that my children still under my care regularly frequent the sacraments of Penance and Holy Communion?,I have not ensured that my children still under my care regularly frequent the sacraments of penance and holy communion
48,4,Educated my children in a way that corresponds to Catholic religious disciplines?,I have not educated my children in a way that corresponds to Catholic religious disciplines
49,4,"Provided my children with a positive, prudent and personalized education in the Catholic teaching on human sexuality?","I have not provided my children with a positive, prudent and personalized education in the Catholic teaching on human sexuality"
50,4,Been to my children a good example of how to live the Catholic Faith?,I have not been to my children a good example of how to live the Catholic faith
51,4,Prayed with and for my children?,I have not prayed with and for my children
52,4,(for everyone) Lived in humble obedience to those who legitimately exercise authority over me?,I have not lived in humble obedience to those who legitimately exercise authority over me
53,4,Broken any just law?,I have broken any just law
54,4,Supported or voted for a politician whose positions are opposed to the teachings of Christ and the Catholic Church?,I have supported or voted for a politician whose positions are opposed to the teachings of Christ and the Catholic Church
55,4,Failed to pray for the deceased members of my family . . . the Poor Souls of Purgatory included?,I failed to pray for the deceased members of my family
56,5,Unjustly and intentionally killed a human being (murder)?,I unjustly and intentionally killed a human being
57,5,"Have I been guilty, through negligence and/or lacking of intention, of the death of another (killing)?","I have been guilty, through negligence and/or lacking of intention, of the death of another"
58,5,"Been involved in an abortion, directly or indirectly (through advice, encouragement, providing money, or facilitating it in any other way)?","I been involved in an abortion, directly or indirectly"
59,5,Seriously considered or attempted suicide?,I seriously considered or attempted suicide
60,5,"Supported, promoted, or encouraged the practice of assisted suicide or mercy killing(euthanasia)?","I supported, promoted, or encouraged the practice of assisted suicide or mercy killing"
61,5,Deliberately desired to kill an innocent human being?,I deliberately desired to kill an innocent human being
62,5,Unjustly inflicted bodily harm on another person?,I unjustly inflicted bodily harm on another person
63,5,Unjustly threatened another person with bodily harm?,I unjustly threatened another person with bodily harm
64,5,Verbally or emotionally abused another person?,I verbally or emotionally abused another person
65,5,"Gossiped, slandered, detracted, calumniated?","I gossiped, slandered, detracted, calumniated"
66,5,"Hated another person, or wished him/her evil?","I hated another person, or wished him/her evil"
67,5,"Been prejudiced, or unjustly discriminated against others because of their race, color, nationality, sex or religion?","I been prejudiced, or unjustly discriminated against others because of their race, color, nationality, sex or religion"
68,5,Joined a hate group?,I joined a hate group
69,5,Purposely provoked another by teasing or nagging?,I purposely provoked another by teasing or nagging
70,5,"Recklessly endangered my life or health, or that of another, by my actions?","I recklessly endangered my life or health, or that of another, by my actions"
71,5,Driven recklessly or under the influence of alcohol or other drugs?,I have driven recklessly or under the influence of alcohol or other drugs
72,5,Abused alcohol or other drugs?,I abused alcohol or other drugs
73,5,Sold or given drugs to others to use for non-therapeutic purposes?,I have sold or given drugs to others to use for non-therapeutic purposes
74,5,Used tobacco immoderately?,I used tobacco immoderately
75,5,Over-eaten?,I have over-eaten
76,5,Encouraged others to sin by giving scandal?,I encouraged others to sin by giving scandal
77,5,"Helped another to commit a mortal sin (through advice, driving them somewhere, dressing and/or acting immodestly, etc.)?",I helped another to commit a mortal sin
78,5,Caused serious injury of another by criminal neglect?,I caused serious injury of another by criminal neglect
79,5,Indulged in unjust anger?,I indulged in unjust anger
80,5,Refused to control my temper?,I refused to control my temper
81,5,"Been fateful to, quarreled with, or willfully hurt someone?","I been fateful to, quarreled with, or willfully hurt someone"
82,5,"Been unforgiving of others, especially when mercy or pardon was requested?","I been unforgiving of others, especially when mercy or pardon was requested"
83,5,Sought revenge or hoped something bad would happen to someone?,I sought revenge or hoped something bad would happen to someone
84,5,Delighted to see someone else get hurt or suffer?,I delighted to see someone else get hurt or suffer
85,5,"Treated animals cruelly, causing them to suffer or die needlessly?","I treated animals cruelly, causing them to suffer or die needlessly"
86,"6,9",Neglected to practice and grow in the virtue of chastity?,I neglected to practice and grow in the virtue of chastity
87,"6,9",Given in to lust? (The desire for sexual pleasure unrelated to spousal love in marriage.),I have given in to lust 
88,"6,9",Used an artificial means of birth control (including withdrawal)?,I used an artificial means of birth control
89,"6,9","Refused to be open to conception, without just cause? (Catechism, 2368)","I refused to be open to conception, without just cause "
90,"6,9",Participated in immoral techniques such as in vitro fertilization or artificial insemination?,I participated in immoral techniques such as in vitro fertilization or artificial insemination
91,"6,9",Sterilized my sex organs for contraceptive purposes?,I sterilized my sex organs for contraceptive purposes
92,"6,9","Deprived my spouse of the marital right, without just cause?","I deprived my spouse of the marital right, without just cause"
93,"6,9",Claimed my own marital right without concern for my spouse?,I claimed my own marital right without concern for my spouse
94,"6,9","Deliberately caused male climax outside of normal sexual intercourse? Masturbated? (Deliberate stimulation of one’s own sexual organs for sexual pleasure outside of the conjugal act.) (Catechism, 2366)",I deliberately caused male climax outside of normal sexual intercourse 
95,"6,9",Willfully entertained impure thoughts?,I willfully entertained impure thoughts
96,"6,9","Purchased, viewed, or made use of pornography?","I purchased, viewed, or made use of pornography"
97,"6,9",Watched or promoted movies and television that involve sex and nudity?,I watched or promoted movies and television that involve sex and nudity
98,"6,9",Listened to music or jokes that are harmful to purity? Read books that are immoral?,I listened to music or jokes that are harmful to purity/read books that are immoral
99,"6,9","Committed adultery? (Sexual relations with someone who is married, or with someone other than my spouse.)",I committed adultery 
100,"6,9",Committed incest? (Sexual relations with a relative closer than the third degree or an in-law.),I committed incest 
101,"6,9",Committed fornication? (Sexual relations with someone of the opposite sex when the two are not married to one another or any others.),I committed fornication 
102,"6,9",Engaged in homosexual activity? (Sexual activity with someone of the same sex),I engaged in homosexual activity 
103,"6,9",Committed rape?,I committed rape
104,"6,9","Engaged in sexual foreplay (e.g., “petting”, or excessive touching) reserved for marriage?",I engaged in sexual foreplay reserved for marriage
105,"6,9",Preyed upon children or youth for my sexual pleasure (pedophilia)?,I preyed upon children or youth for my sexual pleasure
106,"6,9","Engaged in unnatural sexual activities (anything that is not inherently natural to the sexual act; e.g., sex toys, even in the context of marriage)?",I engaged in unnatural sexual activities
107,"6,9","Engaged in prostitution, or paid for the services of a prostitute?","I engaged in prostitution, or paid for the services of a prostitute"
108,"6,9","Seduced someone, or allowed myself to be seduced?","I seduced someone, or allowed myself to be seduced"
109,"6,9",Made uninvited and unwelcome sexual advances toward another?,I made uninvited and unwelcome sexual advances toward another
110,"6,9",Purposely dressed immodestly?,I purposely dressed immodestly
111,"7,10",Stolen? (Taken something that doesn’t belong to me against the reasonable will of the owner.),I have stolen 
112,"7,10",Envied others on account of their possessions?,I envied others on account of their possessions
113,"7,10",Neglected to live in a spirit of Gospel poverty and simplicity?,I neglected to live in a spirit of gospel poverty and simplicity
114,"7,10",Neglected to give generously to others in need?,I neglected to give generously to others in need
115,"7,10","Not considered that God has provided me with money so that I might use it to benefit others, as well as for my own legitimate needs?","I have not considered that God has provided me with money so that I might use it to benefit others, as well as for my own legitimate needs"
116,"7,10","Allowed myself to be conformed to a consumer mentality (buy, buy buy, throw away, waste, spend, spend, spend?",I allowed myself to be conformed to a consumer mentality
117,"7,10",Neglected to practice the corporal works of mercy?,I neglected to practice the corporal works of mercy
118,"7,10","Deliberately defaced, destroyed or lost another’s property?","I deliberately defaced, destroyed or lost another’s property"
119,"7,10","Cheated on a test, taxes, sports, games, or in business?","I cheated on a test, taxes, sports, games, or in business"
120,"7,10",Squandered money in compulsive gambling?,I squandered money in compulsive gambling
121,"7,10",Make a false claim to an insurance company?,I make a false claim to an insurance company
122,"7,10","Paid my employees a living wage, or failed to give a full day’s work for a full day’s pay?","I have not paid my employees a living wage, or failed to give a full day’s work for a full day’s pay"
123,"7,10",Failed to honor my part of a contract?,I failed to honor my part of a contract
124,"7,10",Failed to make good on a debt?,I failed to make good on a debt
125,"7,10","Overcharge someone, especially to take advantage of another’s hardship or ignorance?",I overchargeid someone to take advantage of another’s hardship or ignorance
126,"7,10",Misused natural resources?,I misused natural resources
127,8,Lied?,I lied
128,8,Knowingly and willfully deceived another?,I knowingly and willfully deceived another
129,8,Perjured myself under oath?,I perjured myself under oath
130,8,Gossiped?,I gossiped
131,8,Committed detraction? (Destroying a person’s reputation by telling others about his faults for no good reason.),I committed detraction
132,8,Committed slander or calumny? (Telling lies about another person in order to destroy his reputation.),I committed slander or calumny
133,8,Committed libel? (Writing lies about another person in order to destroy his reputation. Libel is in substance different from slander because the written word has a longer “life” of damage),I committed libel
134,8,Been guilty of rash judgment? (Assuming the worst of another person based on circumstantial evidence.),I been guilty of rash judgment
135,8,"Failed to make reparation for a lie I told, or for harm done to a person’s reputation?","I failed to make reparation for a lie I told, or for harm done to a person’s reputation"
136,8,"Failed to speak out in defense of the Catholic Faith, the Church, or of another person?","I failed to speak out in defense of the Catholic faith, the church, or of another person"
137,8,"Betrayed another’s confidence through speech, deed, or in writing?","I betrayed another’s confidence through speech, deed, or in writing"
138,P1,Attended Mass on Sundays and Holy Days of Obligation and rest from servile labor?,I have not attended mass on Sundays and holy days of obligation and rested from servile labor.
139,P2,Made a good Confession of my mortal sins at least once a year?,I have not made a good confession of my mortal sins at least once a year
140,P2,Purposely omitted telling my mortal sins in my last Confession?,I have purposely omitted telling my mortal sins in my last confession
141,P2,Neglected to perform the penance I was given?,I neglected to perform the penance I was given
142,P2,Neglected to make reparation for any harm I have done to others?,I neglected to make reparation for any harm I have done to others
143,P3,Neglected to fulfill my Easter duty to receive Holy Communion at least once between the First Sunday of Lent and Trinity Sunday?,I neglected to fulfill my easter duty to receive holy communion at least once between the first Sunday of lent and trinity Sunday
144,P3,Received Holy Communion while in the state of mortal sin?,I received holy communion while in the state of mortal sin
145,P3,Failed to fast for at least one hour before receiving Holy Communion?,I failed to fast for at least one hour before receiving holy communion
146,P3,Received Holy Communion more than twice in one day?,I received holy communion more than twice in one day
147,P4,"Neglected to do penance every Friday of the year, if not abstaining from meat?","I neglected to do penance every Friday of the year, if not abstaining from meat"
148,P4,Neglected to abstain from meat on Ash Wednesday and the Fridays of Lent (if I am 14 years of age and/or older)?,I neglected to abstain from meat on Ash Wednesday and the Fridays of lent
149,P4,Neglected to fast on Ash Wednesday and Good Friday (if I am between the ages of 18 and 59)?,I neglected to fast on Ash Wednesday and good Friday
150,P4,"Participated in diversions on days of penance (e.g., attended crawfish boils and fish fries, ballgames, movies, shopping on Ash Wednesday & Good Friday)?",I participated in diversions on days of penance
151,P4,"Neglected to spend time in prayer, do spiritual and corporal works of mercy, and practice self-denial?","I neglected to spend time in prayer, do spiritual and corporal works of mercy, and practice self-denial"
152,P5,"Neglected to contribute a just amount of my time, talents and money to support my parish and the work of the Church?","I neglected to contribute a just amount of my time, talents and money to support my parish and the work of the church"
153,P5,Neglected to support the Church by not trying to become a saint or by not striving to make sincere progress each day in sanctity?,I neglected to support the church by not trying to become a saint or by not striving to make sincere progress each day in sanctity
154,PA,Been living in a invalid and/or illicit marriage according to the laws of the Catholic Church?,I have been living in a invalid and/or illicit marriage according to the laws of the Catholic Church
155,PA,Abandoned my spouse and/or family by separation or divorce?,I abandoned my spouse and/or family by separation or divorce
156,PA,Kept company with someone whom I cannot marry in the Catholic Church?,I kept company with someone whom I cannot marry in the Catholic Church
157,PA,Given scandal by living with a member of the opposite sex without the benefit of a marriage blessed by the Catholic Church?,I have given scandal by living with a member of the opposite sex without the benefit of a marriage blessed by the Catholic Church
158,PA,Entered into marriage with more than one person at the same time?,I entered into marriage with more than one person at the same time
159,PA,"Failed to embrace the teachings given by the Catholic Church, which are supported by the Natural Law: that marriage can only exist between one man and one woman, and that no other union (i.e., between members of the same sex) can be a valid natural and/or sacramental marriage? [If one holds that same sex unions can be valid marriages he must recant and repent before he can make a valid confession.]","I failed to embrace the teachings regarding marriage given by the Catholic Church, which are supported by the natural law"
160,PA,Supported pro same-sex union politicians?,I supported pro same-sex union politicians
161,PA,Publicly proclaimed that the Church’s teaching on marriage is wrong and as such taught others to reject it?,I publicly proclaimed that the church’s teaching on marriage is wrong and as such taught others to reject it
